leg_exp,site,samples,core_comp_photo,core_closeup_img,ts_img
183,1135,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=183&site=1135,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=183&site=1135,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=183&site=1135,no data available
183,1136,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=183&site=1136,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=183&site=1136,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=183&site=1136,no data available
183,1137,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=183&site=1137,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=183&site=1137,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=183&site=1137,no data available
183,1138,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=183&site=1138,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=183&site=1138,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=183&site=1138,no data available
183,1139,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=183&site=1139,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=183&site=1139,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=183&site=1139,no data available
183,1140,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=183&site=1140,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=183&site=1140,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=183&site=1140,no data available
183,1141,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=183&site=1141,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=183&site=1141,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=183&site=1141,https://web.iodp.tamu.edu/janusweb/imaging/tsmicro.cgi?leg=183&site=1141
183,1142,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=183&site=1142,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=183&site=1142,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=183&site=1142,https://web.iodp.tamu.edu/janusweb/imaging/tsmicro.cgi?leg=183&site=1142
184,1143,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=184&site=1143,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=184&site=1143,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=184&site=1143,no data available
184,1144,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=184&site=1144,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=184&site=1144,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=184&site=1144,no data available
184,1145,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=184&site=1145,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=184&site=1145,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=184&site=1145,no data available
184,1146,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=184&site=1146,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=184&site=1146,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=184&site=1146,no data available
184,1147,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=184&site=1147,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=184&site=1147,no data available,no data available
184,1148,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=184&site=1148,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=184&site=1148,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=184&site=1148,no data available
185,1149,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=185&site=1149,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=185&site=1149,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=185&site=1149,https://web.iodp.tamu.edu/janusweb/imaging/tsmicro.cgi?leg=185&site=1149
185,801,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=185&site=801,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=185&site=801,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=185&site=801,https://web.iodp.tamu.edu/janusweb/imaging/tsmicro.cgi?leg=185&site=801
186,1150,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=186&site=1150,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=186&site=1150,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=186&site=1150,no data available
186,1151,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=186&site=1151,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=186&site=1151,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=186&site=1151,no data available
187,1152,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=187&site=1152,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=187&site=1152,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=187&site=1152,no data available
187,1153,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=187&site=1153,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=187&site=1153,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=187&site=1153,https://web.iodp.tamu.edu/janusweb/imaging/tsmicro.cgi?leg=187&site=1153
187,1154,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=187&site=1154,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=187&site=1154,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=187&site=1154,https://web.iodp.tamu.edu/janusweb/imaging/tsmicro.cgi?leg=187&site=1154
187,1155,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=187&site=1155,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=187&site=1155,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=187&site=1155,no data available
187,1156,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=187&site=1156,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=187&site=1156,no data available,no data available
