Leg,Site,Hole,Latitude,Longitude,Latitude (decimal degrees),Longitude (decimal degrees),Water Depth (mbsl),Number of Cores,Interval Cored (m),Core Recovered (m),% Recovered,Drilled (m),Penetration (m),Comment
165,1001,A,15° 45.427'N,74° 54.627'W,15.7571167,-74.91045,3259.6,56,522.8,286.2,54.8,0,522.8,
165,1001,B,15° 45.418'N,74° 54.626'W,15.7569667,-74.9104333,3259.4,32,301.2,201.1,66.8,0,488.3,
165,1002,A,10° 42.366'N,65° 10.179'W,10.7061,-65.16965,892.7,1,9.5,9.8,102.8,0,9.5,
165,1002,B,10° 42.366'N,65° 10.179'W,10.7061,-65.16965,892.7,1,6.2,6.2,100.6,0,6.2,
165,1002,C,10° 42.368'N,65° 10.166'W,10.7061333,-65.1694333,892.6,19,170.1,186,109.3,0,170.1,
165,1002,D,10° 42.368'N,65° 10.161'W,10.7061333,-65.16935,893.2,18,166.8,162.3,97.3,0,166.8,
165,1002,E,10° 42.364'N,65° 10.155'W,10.7060667,-65.16925,893.1,18,164,165,100.6,0,164,
166,1003,A,24° 32.748'N,79° 15.642'W,24.5458,-79.2607,481.4,27,245.7,129.1,52.6,0,245.7,
166,1003,B,24° 32.760'N,79° 15.648'W,24.546,-79.2608,483.3,57,541.6,187.4,34.6,0,541.6,
166,1003,C,24° 32.766'N,79° 15.648'W,24.5461,-79.2608,483.3,88,845.8,378.1,44.7,0,1300,
166,1003,D,24° 32.758'N,79° 15.643'W,24.5459667,-79.2607167,494.5,0,0,0,,1052.7,1052.7,
166,1004,A,24° 33.282'N,79° 14.952'W,24.5547,-79.2492,418.9,23,200,117.5,58.7,0,200,
166,1005,A,24° 33.774'N,79° 14.142'W,24.5629,-79.2357,350.7,53,462.4,149.6,32.3,0,462.4,
166,1005,B,24° 33.768'N,79° 14.142'W,24.5628,-79.2357,351.7,9,61.7,49.5,80.1,0,61.7,
166,1005,C,24° 33.756'N,79° 14.142'W,24.5626,-79.2357,351.6,34,313.4,107.1,34.2,0,700,
166,1006,A,24° 23.988'N,79° 27.540'W,24.3998,-79.459,657.9,77,717.3,646.9,90.2,0,717.3,
166,1006,B,24° 23.988'N,79° 27.552'W,24.3998,-79.4592,657.5,19,176.5,182.7,103.5,0,176.5,
166,1006,C,24° 23.994'N,79° 27.558'W,24.3999,-79.4593,658.4,1,6.6,6.6,99.2,0,6.6,
166,1006,D,24° 23.994'N,79° 27.558'W,24.3999,-79.4593,657.4,1,7.6,7.6,100,0,7.6,
166,1007,A,24° 30.264'N,79° 19.338'W,24.5044,-79.3223,650.3,1,6.6,6.7,100.8,0,6.6,
166,1007,B,24° 30.264'N,79° 19.338'W,24.5044,-79.3223,647.4,41,375.7,198.4,52.8,0,377.7,
166,1007,C,24° 30.252'N,79° 19.350'W,24.5042,-79.3225,647.3,97,933.4,503.3,53.9,0,1235.4,
166,1008,A,23° 36.642'N,79°  5.010'W,23.6107,-79.0835,437.1,16,134.5,89.1,66.2,0,134.5,
166,1009,A,23° 36.840'N,79°  3.000'W,23.614,-79.05,307.9,28,226.1,179.2,79.3,0,226.1,
167,1010,A,29° 57.900'N,118°  6.047'W,29.965,-118.1007833,3464.5,1,9.2,9.1,99.5,0,9.2,
167,1010,B,29° 57.905'N,118°  6.044'W,29.9650833,-118.1007333,3465.5,3,23.2,23.7,102.2,0,23.2,
167,1010,C,29° 57.905'N,118°  6.047'W,29.9650833,-118.1007833,3465.7,24,213.9,192.9,90.2,0,213.9,
167,1010,D,29° 57.901'N,118°  6.039'W,29.9650167,-118.10065,3466.7,6,51.5,54.5,105.8,0,51.5,
167,1010,E,29° 57.905'N,118°  6.032'W,29.9650833,-118.1005333,3464.7,19,180.2,185.2,102.8,0,180.2,
167,1010,F,29° 57.896'N,118°  6.034'W,29.9649333,-118.1005667,3465.4,6,55.7,56.8,101.9,0,55.7,
