length_cm,sed_WRND,sed_SHLF,sed_QRND,rcb_WRND,rcb_SHLF,rcb_QRND,sed_CUBE,rcb_CUBE,sed_WDGE,rcb_WDGE,sed_CYL,rcb_CYL
142,5006,2503,1251.5,3804.18,1902.09,951.045,7,7,10,10,10,10
143,5041,2520.5,1260.25,3830.97,1915.485,957.7425,7,7,10,10,10,10
144,5076,2538,1269,3857.76,1928.88,964.44,7,7,10,10,10,10
145,5111,2555.5,1277.75,3884.55,1942.275,971.1375,7,7,10,10,10,10
146,5147,2573.5,1286.75,3911.34,1955.67,977.835,7,7,10,10,10,10
147,5182,2591,1295.5,3938.13,1969.065,984.5325,7,7,10,10,10,10
148,5217,2608.5,1304.25,3964.92,1982.46,991.23,7,7,10,10,10,10
149,5252,2626,1313,3991.71,1995.855,997.9275,7,7,10,10,10,10
150,5288,2644,1322,4018.5,2009.25,1004.625,7,7,10,10,10,10
151,5323,2661.5,1330.75,4045.29,2022.645,1011.3225,7,7,10,10,10,10
152,5358,2679,1339.5,4072.08,2036.04,1018.02,7,7,10,10,10,10
153,5393,2696.5,1348.25,4098.87,2049.435,1024.7175,7,7,10,10,10,10
154,5429,2714.5,1357.25,4125.66,2062.83,1031.415,7,7,10,10,10,10
155,5464,2732,1366,4152.45,2076.225,1038.1125,7,7,10,10,10,10
