"leg_exp","site","variable","value","other","Pleistocene","Pliocene","Miocene","Oligocene","Eocene","Paleocene","Cretaceous","sort_old","crunch_old","all_ages2","Latitude_DD","Longitude_DD","program","repository"
"10","92","Pleistocene","Pleistocene",NA,"Pleistocene",NA,NA,NA,NA,NA,NA,NA,NA,"Pleistocene",25.8448,-91.8215,"DSDP","GCR"
"10","93","Pleistocene","Pleistocene",NA,"Pleistocene",NA,NA,NA,NA,NA,NA,NA,NA,"Pleistocene",22.6208,-91.4797,"DSDP","GCR"
"10","94","Pleistocene","Pleistocene",NA,"Pleistocene","Pliocene","Miocene","Oligocene","Eocene","Paleocene","Cretaceous",NA,NA,"Pleistocene, Pliocene, Miocene, Oligocene, Eocene, Paleocene, Cretaceous",24.5273,-88.4693,"DSDP","GCR"
"10","94","Oligocene","Oligocene",NA,"Pleistocene","Pliocene","Miocene","Oligocene","Eocene","Paleocene","Cretaceous",NA,NA,"Pleistocene, Pliocene, Miocene, Oligocene, Eocene, Paleocene, Cretaceous",24.5273,-88.4693,"DSDP","GCR"
"10","94","Miocene","Miocene",NA,"Pleistocene","Pliocene","Miocene","Oligocene","Eocene","Paleocene","Cretaceous",NA,NA,"Pleistocene, Pliocene, Miocene, Oligocene, Eocene, Paleocene, Cretaceous",24.5273,-88.4693,"DSDP","GCR"
"10","94","Eocene","Eocene",NA,"Pleistocene","Pliocene","Miocene","Oligocene","Eocene","Paleocene","Cretaceous",NA,NA,"Pleistocene, Pliocene, Miocene, Oligocene, Eocene, Paleocene, Cretaceous",24.5273,-88.4693,"DSDP","GCR"
"10","94","Pliocene","Pliocene",NA,"Pleistocene","Pliocene","Miocene","Oligocene","Eocene","Paleocene","Cretaceous",NA,NA,"Pleistocene, Pliocene, Miocene, Oligocene, Eocene, Paleocene, Cretaceous",24.5273,-88.4693,"DSDP","GCR"
"10","94","Cretaceous","Cretaceous",NA,"Pleistocene","Pliocene","Miocene","Oligocene","Eocene","Paleocene","Cretaceous",NA,NA,"Pleistocene, Pliocene, Miocene, Oligocene, Eocene, Paleocene, Cretaceous",24.5273,-88.4693,"DSDP","GCR"
"10","94","Paleocene","Paleocene",NA,"Pleistocene","Pliocene","Miocene","Oligocene","Eocene","Paleocene","Cretaceous",NA,NA,"Pleistocene, Pliocene, Miocene, Oligocene, Eocene, Paleocene, Cretaceous",24.5273,-88.4693,"DSDP","GCR"
"10","95","Eocene","Eocene",NA,"Pleistocene",NA,NA,"Oligocene","Eocene","Paleocene","Cretaceous",NA,NA,"Pleistocene, Oligocene, Eocene, Paleocene, Cretaceous",24.15,-86.3975,"DSDP","GCR"
"10","95","Pleistocene","Pleistocene",NA,"Pleistocene",NA,NA,"Oligocene","Eocene","Paleocene","Cretaceous",NA,NA,"Pleistocene, Oligocene, Eocene, Paleocene, Cretaceous",24.15,-86.3975,"DSDP","GCR"
"10","95","Cretaceous","Cretaceous",NA,"Pleistocene",NA,NA,"Oligocene","Eocene","Paleocene","Cretaceous",NA,NA,"Pleistocene, Oligocene, Eocene, Paleocene, Cretaceous",24.15,-86.3975,"DSDP","GCR"
