"Title","Keywords","Creator","Notes","Duration","Special","YouTube.Link","YouTube.Channel","Exp.or.Group"
"JR In a Minute - Core Drilling","Moonpool","Thanos Fatouros",NA,"00:01:11","animation","https://www.youtube.com/watch?v=Lgxa7RJE2qY","OceanLeadership","344"
"JR In a Minute - Core Drilling","Derrick","Thanos Fatouros",NA,"00:01:11","animation","https://www.youtube.com/watch?v=Lgxa7RJE2qY","OceanLeadership","344"
"JR In a Minute - Core Drilling","Drilling/Rigfloor","Thanos Fatouros",NA,"00:01:11","animation","https://www.youtube.com/watch?v=Lgxa7RJE2qY","OceanLeadership","344"
"JR In a Minute - The Bridge","Bridge","Thanos Fatouros",NA,"00:01:10","animation","https://www.youtube.com/watch?v=uYEcC-3_kHo","OceanLeadership","344"
"JR In a Minute - The Catwalk","Core Flow","Thanos Fatouros",NA,"00:01:12","animation","https://www.youtube.com/watch?v=T8Y14A5oBxY","OceanLeadership","344"
"JR In a Minute - The Catwalk","Labs","Thanos Fatouros",NA,"00:01:12","animation","https://www.youtube.com/watch?v=T8Y14A5oBxY","OceanLeadership","344"
"JR In a Minute - The Catwalk","Catwalk","Thanos Fatouros",NA,"00:01:12","animation","https://www.youtube.com/watch?v=T8Y14A5oBxY","OceanLeadership","344"
"JR In a Minute - The Derrick","Derrick","Thanos Fatouros",NA,"00:01:05","animation","https://www.youtube.com/watch?v=SiJsISjVyns","OceanLeadership","344"
"JR In a Minute - The Derrick","Drilling/Rigfloor","Thanos Fatouros",NA,"00:01:05","animation","https://www.youtube.com/watch?v=SiJsISjVyns","OceanLeadership","344"
"JR In a Minute - Thrusters H264","Thrusters/DP","Thanos Fatouros",NA,"00:00:27","animation","https://www.youtube.com/watch?v=mpZArK5oGeM","The JOIDES Resolution","344"
"JR Live!","Catwalk","Lisa Strong",NA,"00:02:07",NA,"https://www.youtube.com/watch?v=5M-GM_4jmNY","OceanLeadership","Educators"
"JR Live!","Labs","Lisa Strong",NA,"00:02:07",NA,"https://www.youtube.com/watch?v=5M-GM_4jmNY","OceanLeadership","Educators"
"JR Live!","Ocean","Lisa Strong",NA,"00:02:07",NA,"https://www.youtube.com/watch?v=5M-GM_4jmNY","OceanLeadership","Educators"
"JR Live!","Science","Lisa Strong",NA,"00:02:07",NA,"https://www.youtube.com/watch?v=5M-GM_4jmNY","OceanLeadership","Educators"
